version:4
prefix;root;translation;example
vor;beugen;to prevent;Sport hilft, Krankheiten vorzubeugen.
auf;bewahren;to store, keep;Bewahre deine Unterlagen gut auf.
weg;bewegen;to move away;Beweg dich ein Stück weg von der Kante.
nach;bilden;to replicate;Das Museum bildet historische Szenen nach.
miss;billigen;to disapprove of;Sein Chef missbilligt sein Verhalten.
ent;binden;to release from obligation;Der Vertrag entbindet ihn von weiterer Haftung.
;bleiben;to stay;Ich bleibe heute zu Hause.
hinter;bleiben;to stay behind;Er bleibt nach dem Unterricht hinter.
unter;bleiben;to stay away/undone (archaic);Solche Worte sollen mir unterbleiben!
weg;bleiben;to stay away;Bleib bitte mit dem Hund weg von der Küche.
zurück;bleiben;to stay behind;Jemand muss bei den Kindern zurückbleiben.
über;blicken;to overlook, have a view of;Von hier aus überblicken wir die Stadt.
auf;blühen;to flourish, bloom;Die Blumen blühen im Frühling auf.
er;blühen;to blossom;Die Rosen erblühen im Frühsommer.
;brauchen;to need;Ich brauche Hilfe.
ge;brauchen;to use;Wir gebrauchen dieses Werkzeug oft.
miss;brauchen;to misuse, abuse;Er missbraucht seine Macht.
aus;brechen;to erupt, break out;Der Vulkan bricht plötzlich aus.
unter;brechen;to interrupt;Bitte unterbrich mich nicht.
zer;brechen;to break into pieces;Das Glas zerbricht auf dem Boden.
aus;breiten;to spread out;Der Vogel breitet seine Flügel aus.
an;brennen;to scorch, burn slightly;Das Essen brennt schnell an, wenn du es vergisst.
;bringen;to bring;Ich bringe dir Kaffee.
bei;bringen;to teach;Sie bringt mir das Backen bei.
her;bringen;to bring here;Kannst du die Unterlagen herbringen?
hinter;bringen;to inform secretly;Er hat mir hinterbracht, was wirklich geschah.
mit;bringen;to bring along;Ich bringe eine Flasche Wein mit.
mit;bringen;to entail;Die Entscheidung bringt Risiken mit.
rein;bringen;to bring in;Ich bringe die Einkäufe rein.
rüber;bringen;to convey;Er bringt die Idee gut rüber.
unter;bringen;to accommodate;Wir bringen unsere Gäste im Hotel unter.
ver;bringen;to spend (time);Wir verbringen das Wochenende am See.
weg;bringen;to bring away, dispose of;Bring bitte den Müll weg.
ge;bären;to give birth;Sie gebärt einen gesunden Sohn.
ge;bühren;to be due, deserve;Ihm gebührt Respekt für seine Leistung.
be;danken|(sich);to thank (formally);Ich bedanke mich für Ihre Hilfe.
über;dauern;to outlast;Dieses Denkmal überdauert Jahrhunderte.
auf;decken;to uncover, reveal;Der Reporter deckt einen Skandal auf.
ent;decken;to discover;Er entdeckt einen neuen Planeten.
ent;decken;to uncover;Wir haben einen Fehler entdeckt.
über;decken;to cover over;Eine dicke Schneedecke überdeckt das Land.
ge;deihen;to thrive;Die Pflanzen gedeihen in der Sonne.
;denken;to think;Ich denke an dich.
ge;denken;to commemorate;Wir gedenken der Opfer des Krieges.
hinter;denken;to suspect hidden motives;Man muss manchmal etwas Böses dahinterdenken.
mit;denken;to think along;Man muss im Unterricht gut mitdenken.
nach;denken;to think about;Denk bitte darüber nach, bevor du entscheidest.
weg;denken;to imagine without;Man kann Autos heute nicht mehr wegdenken.
zer;denken;to overthink;Ich zerdenke oft meine Entscheidungen.
zurück;denken;to think back;Ich denke gern an den Urlaub zurück.
über;denken;to reconsider;Wir überdenken unsere Strategie.
miss;deuten;to misinterpret;Ich habe seine Geste wohl missdeutet.
bei;drehen;to heave to (nautical);Das Schiff dreht bei, um den Sturm abzuwettern.
ein;dringen;to penetrate;Das Regenwasser dringt durch das Dach ein.
vor;dringen;to push forward;Die Rettungskräfte dringen langsam vor.
aus;drucken;to print out;Druck bitte das Dokument aus.
aus;drücken;to express;Er drückt seine Meinung klar aus.
ein;drücken;to push in;Drück den Knopf ganz ein.
unter;drücken;to oppress;Ein diktatorisches Regime unterdrückt das Volk.
weg;drücken;to reject a phone call;Er drückt den Anruf einfach weg.
er;dulden;to tolerate;Wir dulden hier keine Beleidigungen.
be;einflussen;to influence;Das Wetter beeinflusst meine Stimmung.
;enden;to end;Die Stunde endet jetzt.
be;enden;to end, finish;Wir beenden das Projekt heute.
mit;erleben;to experience together;Wir erleben das Konzert gemeinsam mit.
miss;erziehen;to raise incorrectly;Die Eltern haben das Kind leider misserzogen.
nach;erzählen;to retell;Kannst du mir die Geschichte nacherzählen?
;essen;to eat;Ich esse einen Apfel.
auf;essen;to finish eating;Iss bitte dein Mittagessen auf.
mit;essen;to eat with others;Willst du mit uns mitessen?
weg;essen;to eat up someone’s portion;Sie hat mir meinen Kuchen weggegessen!
;fahren;to drive, travel;Wir fahren mit dem Auto.
ab;fahren;to depart;Der Zug fährt um acht ab.
ab;fahren;to drive off;Der Bus fuhr plötzlich ab.
hinterher;fahren;to drive after;Er fährt dem Bus hinterher.
mit;fahren;to drive/travel along;Kann ich bis zur Schule mitfahren?
vor;fahren;to drive up;Das Taxi fährt vor und wartet.
weg;fahren;to drive away;Wir fahren morgen in den Urlaub weg.
zurück;fahren;to drive back;Wir fahren am Abend zurück.
auf;fallen;to notice;Mir ist ein Fehler aufgefallen.
auf;fallen;to stand out;Ihre rote Jacke fällt sofort auf.
aus;fallen;to be canceled;Der Unterricht fällt heute aus.
aus;fallen;to drop out, fail;Das Konzert fällt leider aus.
bei;fallen;to come to mind;Mir fällt bei, dass wir noch einkaufen müssen.
ein;fallen;to collapse, cave in;Nach dem Sturm ist das Dach teilweise eingefallen.
ein;fallen;to come to mind;Mir fällt gerade eine Idee ein.
ein;fallen;to invade, raid;Die Truppen fielen in das Land ein.
ge;fallen;to please;Die Musik gefällt mir sehr.
miss;fallen;to displease;Dein Ton missfällt mir sehr.
weg;fallen;to be omitted, canceled;Das Treffen fällt heute weg.
zer;fallen;to disintegrate;Das alte Gebäude zerfällt langsam.
an;fangen;to begin, start;Wir fangen jetzt mit der Arbeit an.
an;fassen;to touch;Fass bitte die heiße Pfanne nicht an!
;fehlen;to be missing;Mir fehlt die Zeit.
ver;fehlen;to miss (appointment);Ich habe den Termin verfehlt.
ver;fehlen;to miss (target);Ich habe das Ziel knapp verfehlt.
mit;feiern;to celebrate together;Feierst du bei der Party mit?
ent;fernen;to remove;Bitte entferne den Fleck von der Hose.
zer;fetzen;to tear to shreds;Der Sturm zerfetzt die Fahne.
;finden;to find;Ich finde meinen Schlüssel nicht.
er;finden;to invent;Wer hat das Telefon erfunden?
be;finden|(sich);to be located, feel;Ich befinde mich gerade in Hamburg.
weg;fliegen;to fly away;Die Vögel fliegen im Winter weg.
über;fliegen;to skim-read;Ich überfliege den Artikel nur kurz.
zer;fließen;to melt, flow apart;Die Schokolade zerfließt in der Sonne.
ver;folgen;to follow up;Wir verfolgen den Plan weiter.
ver;folgen;to pursue;Die Polizei verfolgt den Verdächtigen.
auf;fordern;to call upon, challenge;Der Lehrer fordert die Schüler zur Mitarbeit auf.
unter;fordern;to underchallenge;Die Aufgaben unterfordern mich total.
zurück;fordern;to demand back;Sie fordert ihr Geld zurück.
über;fordern;to overwhelm;Ich bin von dieser Aufgabe überfordert.
miss;formen;to shape incorrectly;Er hat das Tonmodell missformt.
nach;forschen;to research, investigate;Die Polizei forscht dem Hinweis nach.
;fragen;to ask;Darf ich etwas fragen?
hinter;fragen;to question, scrutinize;Wir hinterfragen das System kritisch.
nach;fragen;to inquire;Ich frage lieber nochmal nach.
zer;fransen;to fray;Das alte Seil zerfranst am Ende.
;freuen|(sich);to be happy, look forward;Ich freue mich auf den Urlaub.
ein;frieren;to freeze (food);Wir frieren das Fleisch ein.
er;frieren;to freeze to death;Draußen ist es so kalt, dass man erfriert.
ge;frieren;to freeze;Es gefriert draußen nachts schnell.
be;fördern;to promote, encourage;Die Firma befördert seine Karriere.
be;fördern;to transport;Die Anlage befördert das Material nach oben.
bei;fügen;to add, enclose;Fügen Sie bitte die Unterlagen bei.
mit;fühlen;to sympathize;Ich fühle in dieser Situation mit dir mit.
auf;führen;to perform (stage);Das Theater führt das Stück auf.
aus;führen;to carry out;Wir führen den Plan aus.
durch;führen;to carry out;Wir führen den Test morgen durch.
durch;führen;to conduct;Wir führen das Experiment durch.
ein;führen;to introduce;Die Firma führt ein neues System ein.
ein;führen;to introduce (policy);Die Schule führt neue Regeln ein.
ent;führen;to kidnap, hijack;Kriminelle haben den Sohn entführt.
vor;führen;to demonstrate;Der Lehrer führt das Experiment vor.
über;führen;to transfer, extradite;Die Polizei führt ihn über die Grenze.
aus;füllen;to fill out;Füll bitte das Formular aus.
be;fürchten;to fear;Ich befürchte, dass es regnen wird.
;geben;to give;Gib mir bitte das Buch.
ab;geben;to emit, give off;Der Motor gibt viel Wärme ab.
ab;geben;to hand in;Gib bitte den Bericht ab.
an;geben;to boast;Er gibt gern mit seinem Auto an.
an;geben;to state, specify;Bitte gib deine Daten an.
auf;geben;to give up;Gib nicht auf.
auf;geben;to post (mail);Ich gebe das Paket bei der Post auf.
aus;geben;to spend (money);Ich gebe zu viel Geld aus.
bei;geben;to add (ingredient);Gib noch etwas Salz bei.
nach;geben;to give in;Sie gibt schließlich seiner Bitte nach.
nach;geben;to yield, relent;Er gab dem Druck nach.
ver;geben;to award (contract);Die Stadt vergibt den Auftrag an eine Firma.
ver;geben;to forgive;Ich vergebe dir.
zu;geben;to admit;Er gibt seinen Fehler zu.
zurück;geben;to give back;Gib mir mein Buch bitte zurück.
zurück;geben;to return (money);Er gibt das Geld nicht zurück.
über;geben;to hand over;Er übergibt ihr das Geschenk.
;gehen;to go;Wir gehen nach Hause.
ab;gehen;to go off (alarm);Der Alarm ging los.
ab;gehen;to take place;Das Konzert ging um acht ab.
auf;gehen;to open (door, etc.);Die Tür geht von selbst auf.
auf;gehen;to rise (sun);Die Sonne geht im Sommer sehr früh auf.
auf;gehen;to work out, succeed;Der Plan ging am Ende auf.
aus;gehen;to go out;Wir gehen am Samstagabend aus.
aus;gehen;to go out (light);Das Licht geht plötzlich aus.
aus;gehen;to run out;Uns geht das Geld aus.
durch;gehen;to go through;Wir gehen den Plan noch einmal durch.
durch;gehen;to walk through;Wir gingen den Park durch.
ein;gehen;to be received (payment);Die Zahlung ist gestern eingegangen.
ein;gehen;to enter, engage;Wir gehen einen Vertrag ein.
ein;gehen;to respond to;Er geht auf meine Frage ein.
ent;gehen;to miss (fail to notice);Mir ist nichts entgangen.
hinter;gehen;to deceive, betray;Sie hat ihn hintergangen.
los;gehen;to set off;Wann geht es los?
mit;gehen;to go along;Ich gehe heute Abend mit dir mit.
nach;gehen;to follow;Er geht jeder Spur nach.
unter;gehen;to go down, sink;Die Sonne geht am Abend unter.
unter;gehen;to perish;Die Firma ist in der Krise untergegangen.
vor;gehen;to go ahead;Geh schon mal vor, ich komme gleich nach.
vor;gehen;to proceed;Wir gehen Schritt für Schritt vor.
vor;gehen;to take action against;Die Polizei geht gegen Betrüger vor.
weg;gehen;to go away;Ich gehe jetzt weg.
zer;gehen;to dissolve;Die Brausetablette zergeht im Wasser.
über;gehen;to overlook;Man darf den Fehler nicht übergehen.
ver;gessen;to forget;Vergiss nicht den Termin.
miss;gestalten;to misform, shape poorly;Das Projekt wurde völlig missgestaltet.
mit;gestalten;to help shape;Wir können das Event alle gemeinsam mitgestalten.
ein;gießen;to pour in;Er gießt Wasser in die Tasse ein.
ent;giften;to detoxify;Wir entgiften unseren Körper mit einer Kur.
;glauben;to believe;Ich glaube dir.
miss;glauben;to believe incorrectly;Viele missglauben diese Theorie.
ver;gleichen;to compare;Vergleiche bitte die Angebote.
ent;gleisen;to derail;Der Zug ist zum Glück nicht entgleist.
ent;gleiten;to slip away;Die Situation entgleitet ihm langsam.
miss;glücken;to fail;Die Überraschung ist missglückt.
unter;graben;to undermine;Lange Streitigkeiten untergraben das Vertrauen.
an;greifen;to attack;Der Hund greift den Briefträger an.
er;greifen;to seize, grasp;Wir ergreifen die Gelegenheit.
be;gründen;to found, establish;Sie begründen ein neues Unternehmen.
be;gründen;to justify;Er begründet seine Entscheidung.
be;grüßen;to greet;Ich begrüße den Gast freundlich.
be;grüßen;to welcome;Der Bürgermeister begrüßt die Gäste.
nach;gucken;to look after something;Guck mal nach, ob die Post da ist.
miss;gönnen;to begrudge;Sie missgönnt ihm jeden Erfolg.
ent;haaren;to shed hair;Die Katze enthaart gerade sehr stark.
;haben;to have;Wir haben keine Zeit.
vor;haben;to plan, intend;Was hast du am Wochenende vor?
zer;hacken;to chop up;Er zerhackt die Zwiebeln für die Sauce.
;halten;to hold, keep;Er hält das Kind fest.
auf;halten;to delay, hold up;Bitte halte mich nicht auf, ich habe es eilig.
aus;halten;to endure;Ich halte diesen Lärm nicht aus.
be;halten;to keep;Ich behalte das Buch noch etwas.
be;halten;to retain (memory);Sie behält die Formel im Kopf.
durch;halten;to persevere;Halte noch etwas durch.
ein;halten;to comply with, keep;Du musst die Frist unbedingt einhalten.
ent;halten;to contain;Die Flasche enthält einen Liter Wasser.
er;halten;to receive;Ich erhalte viele Briefe.
mit;halten;to keep up;Ich kann beim Laufen nicht mit dir mithalten.
zurück;halten;to hold back;Versuch nicht, deine Gefühle zurückzuhalten.
zurück;halten;to restrain;Sie hielt ihre Meinung zurück.
unter;halten|(sich);to converse/entertain;Wir unterhalten uns über das Wetter.
be;handeln;to deal with (topic);Das Buch behandelt ein schwieriges Thema.
be;handeln;to treat, deal with;Der Arzt behandelt den Patienten.
miss;handeln;to mistreat;Man darf Tiere nicht misshandeln.
miss;heiraten;to marry wrongly (colloq);Sie sagt, sie habe sich missheiratet.
;heißen;to be called;Ich heiße Maria.
;helfen;to help;Kannst du mir helfen?
mit;helfen;to help along;Kannst du mir kurz mithelfen?
nach;helfen;to help along, remedy;Eine Tasse Kaffee kann manchmal nachhelfen.
er;hellen;to brighten;Der Himmel erhellt sich nach dem Regen.
ver;hindern;to prevent;Ein Stau verhinderte unsere rechtzeitige Ankunft.
ab;holen;to fetch;Ich hole die Kinder von der Schule ab.
ab;holen;to pick up;Kannst du mich vom Bahnhof abholen?
bei;holen;to call in for help (rare);Sie holt ihren Bruder bei, um zu helfen.
ein;holen;to catch up with;Wir holen die verlorene Zeit ein.
nach;holen;to catch up on;Wir holen den ausgefallenen Termin nach.
nach;holen;to make up for;Ich hole den Schlaf am Wochenende nach.
ge;horchen;to obey;Der Hund gehorcht seinem Besitzer.
nach;hängen;to dwell on (past);Sie hängt oft alten Erinnerungen nach.
;hören;to hear;Ich höre Musik.
an;hören;to listen to;Hör dir das Lied an.
auf;hören;to stop (doing something);Hör bitte mit dem Lärm auf.
ge;hören;to belong to;Das Buch gehört mir.
zu;hören;to listen;Hör mir bitte zu.
über;hören;to not hear or ignore;Ich habe deinen Ruf wohl überhört.
er;innern;to remind;Das Foto erinnert mich an den Urlaub.
miss;interpretieren;to interpret incorrectly;Ich habe seine Worte wohl missinterpretiert.
;kaufen;to buy;Ich kaufe frisches Brot.
ein;kaufen;to shop, buy groceries;Wir kaufen jeden Samstag ein.
ver;kaufen;to sell;Wir verkaufen unser altes Auto.
zurück;kehren;to return;Nach Jahren kehrt er in sein Heimatdorf zurück.
;kennen;to know (someone);Ich kenne ihn gut.
er;kennen;to recognize;Ich erkenne dich an deiner Stimme.
be;klagen;to complain about;Sie beklagt die schlechten Zustände.
be;klagen;to lament, mourn;Sie beklagt den Verlust ihres Hundes.
ent;kleiden;to undress someone;Die Pflegerin entkleidet den Patienten vor der OP.
ent;kleiden|(sich);to undress;Er entkleidet sich vor der Untersuchung.
miss;klingen;to sound bad (rare);Der Ton missklingt in meinen Ohren.
auf;klären;to clarify;Wir klären die Situation sofort auf.
er;klären;to explain;Erkläre mir das bitte.
bei;knien;to kneel by;Sie kniet bei und betet.
zer;knittern;to crumple;Das Papier zerknittert in meiner Tasche.
;kochen;to cook;Ich koche Suppe.
zer;kochen;to overboil;Das Gemüse zerkocht, wenn du es zu lange kochst.
über;kochen;to boil over;Die Milch kocht leicht über, wenn man nicht aufpasst.
;kommen;to come;Komm bitte hierher.
an;kommen;to arrive;Der Zug kommt in fünf Minuten an.
an;kommen;to be well received;Die Idee kam bei den Kunden gut an.
an;kommen;to depend on;Es kommt auf die Details an.
auf;kommen;to arise;Ein Verdacht kommt auf.
aus;kommen;to get along (with someone);Wir kommen gut miteinander aus.
aus;kommen;to manage, get by;Wir kommen mit wenig Geld aus.
be;kommen;to agree with (food);Fettiges Essen bekommt mir nicht.
be;kommen;to get (ill);Ich bekomme Kopfschmerzen.
be;kommen;to receive, get;Ich bekomme viele E-Mails am Tag.
bei;kommen;to manage, handle;Wir müssen dem Problem schnell beikommen.
ein;kommen;to come in;Komm bitte kurz ein.
ent;kommen;to escape;Dem Gefangenen gelang es zu entkommen.
hinter;kommen;to find out;Ich bin noch nicht dahinter gekommen, wie es funktioniert.
mit;kommen;to come along;Kommst du mit ins Kino?
mit;kommen;to keep up, understand;Ich komme bei dem Tempo nicht mit.
nach;kommen;to come later;Ich komme ein bisschen später nach.
um;kommen;to perish;Er ist bei dem Unfall umgekommen.
vor;kommen;to happen, occur;Das kommt manchmal vor.
weg;kommen;to get away;Ich komme von der Arbeit nicht weg.
zurück;kommen;to come back;Wann kommst du zurück?
über;kommen;to overcome;Die Angst überkommt ihn.
er;kranken;to fall ill;Viele sind an der Grippe erkrankt.
ab;kriegen;to get off, remove;Ich kriege den Fleck nicht ab.
an;kriegen;to get to start working;Das alte Radio kriegen wir nicht mehr an.
auf;kriegen;to get open;Ich kriege die Dose nicht auf.
her;kriegen;to get hold of;Kannst du mir das Buch herkriegen?
hin;kriegen;to manage, get done;Wir kriegen das heute noch hin.
mit;kriegen;to notice;Hast du das Gespräch mitgekriegt?
rein;kriegen;to get inside;Ich kriege den Tisch nicht rein.
rum;kriegen;to get around;Er kriegt die Kurve nicht rum.
weg;kriegen;to get rid of;Wir kriegen die Fehler nicht weg.
zusammen;kriegen;to get together;Wir kriegen das Team zusammen.
er;kämpfen;to win by struggle;Sie hat sich den Sieg hart erkämpft.
unter;kühlen;to cool down too much;Nach dem Schwimmen ist er völlig unterkühlt.
an;lachen;to laugh at someone;Das Baby lacht seinen Vater an.
be;lachen;to laugh at;Sie belachen ihn wegen seines Fehlers.
auf;laden;to charge, load up;Er lädt die Batterien wieder auf.
bei;laden;to involve a third party;Der Anwalt will einen Zeugen beiladen.
ein;laden;to invite;Ich lade dich zu meiner Geburtstagsfeier ein.
ein;laden;to load (a truck);Wir laden die Kisten in den LKW ein.
vor;laden;to summon;Der Zeuge wird vor Gericht vorgeladen.
über;lagern;to superimpose;Die Geräusche überlagern sich.
er;lahmen;to become lame;Sein Bein ist durch die Verletzung erlahmt.
aus;lassen;to leave out;Lass bitte den Zucker aus.
ein;lassen;to let in;Lass mich kurz rein.
ein;lassen;to soak, let sit;Lass den Reis noch kurz ein.
ent;lassen;to discharge (hospital);Der Arzt entlässt ihn morgen aus dem Krankenhaus.
ent;lassen;to dismiss, fire;Die Firma entlässt zehn Mitarbeiter.
hinter;lassen;to leave behind;Er hinterlässt immer eine Nachricht.
los;lassen;to let go;Lass mich los!
nach;lassen;to decrease, fade;Sein Fleiß lässt nie nach.
nach;lassen;to let up;Der Regen lässt langsam nach.
unter;lassen;to refrain from;Bitte unterlass diese Bemerkungen.
ver;lassen;to leave;Sie verlässt das Haus um 8 Uhr.
zu;lassen;to allow;Die Schule lässt keine Ausnahmen zu.
zu;lassen;to approve, permit;Die Behörde lässt den Antrag zu.
zurück;lassen;to leave behind;Lass mich hier nicht zurück!
;laufen;to run;Der Hund läuft schnell.
aus;laufen;to leak;Der Tank läuft aus.
aus;laufen;to run out, expire;Der Vertrag läuft in zwei Wochen aus.
hinterher;laufen;to run after;Der Hund läuft dem Ball hinterher.
nach;laufen;to run after someone;Der Hund läuft dem Ball nach.
unter;laufen;to occur inadvertently;Ihm ist ein Fehler unterlaufen.
vor;laufen;to walk ahead;Lauf ruhig vor, ich hole dich ein.
weg;laufen;to run away;Der Hund ist wieder weggelaufen.
zurück;laufen;to run back;Ich laufe schnell nach Hause zurück.
über;laufen;to overflow (or defect);Das Wasser läuft über.
ver;laufen|(sich);to get lost (on foot);Wir verlaufen uns oft im Wald.
ver;laufen|(sich);to go off course;Wir sind uns in der Stadt verlaufen.
;leben;to live;Sie lebt in Berlin.
auf;leben;to revive, come alive;Die Natur lebt nach dem Regen auf.
er;leben;to experience;Wir erleben hier jeden Tag etwas Neues.
über;leben;to survive;Sie überleben den Sturm auf hoher See.
ein;leben|(sich);to settle in;Ich lebe mich in der neuen Stadt ein.
ab;legen;to resign, lay down office;Sie legte ihr Amt ab.
ab;legen;to take off, remove;Leg bitte den Mantel ab.
an;legen;to invest;Wir legen unser Geld gut an.
an;legen;to set up, create;Ich lege ein neues Konto an.
auf;legen;to hang up (phone);Leg jetzt nicht einfach auf!
aus;legen;to interpret;Wir legen den Vertrag gemeinsam aus.
aus;legen;to lay out, display;Die Verkäuferin legt die Ware im Schaufenster aus.
bei;legen;to attach (letter/email);Ich lege eine Kopie bei.
fest;legen;to determine, set;Wir legen den Termin fest.
hinter;legen;to deposit;Ich hinterlege das Geld auf der Bank.
vor;legen;to present;Bitte legen Sie die Dokumente vor.
zer;legen;to dismantle;Wir zerlegen das Regal zum Transport.
zurück;legen;to put back;Leg das Buch bitte ins Regal zurück.
über;legen;to be superior;Unsere Mannschaft ist überlegen.
über;legen;to consider;Überlege es dir gut.
hin;legen|(sich);to lie down;Ich lege mich für eine Stunde hin.
ab;lehnen;to refuse;Er lehnt das Angebot ab.
er;leiden;to suffer;Sie erleidet große Schmerzen.
aus;leihen;to borrow;Ich leihe mir ein Buch aus der Bibliothek aus.
;lernen;to learn;Ich lerne Deutsch.
;lesen;to read;Ich lese ein Buch.
mit;lesen;to read along;Lest alle gemeinsam im Buch mit.
vor;lesen;to read aloud;Er liest den Kindern eine Geschichte vor.
ver;lieben|(sich);to fall in love;Ich habe mich Hals über Kopf verliebt.
;liegen;to lie;Das Buch liegt auf dem Tisch.
bei;liegen;to be enclosed;Der Rechnung liegt eine Anleitung bei.
unter;liegen;to succumb, be subject to;Wir unterliegen hier strengen Regeln.
ver;lieren;to lose;Ich verliere ständig meine Schlüssel.
ge;lingen;to succeed;Es gelingt mir endlich, das Puzzle zu lösen.
miss;lingen;to fail;Der Versuch misslingt leider.
weg;locken;to lure away;Der Duft lockt die Insekten weg.
ent;lohnen;to remunerate;Die Firma entlohnt ihre Arbeiter fair.
vor;lügen;to lie to someone;Er lügt seinen Eltern etwas vor.
;machen;to do, make;Ich mache die Hausaufgaben.
an;machen;to hit on, flirt with;Er macht sie in der Bar an.
an;machen;to turn on (device);Mach bitte das Licht an.
auf;machen;to open;Mach bitte das Fenster auf.
auf;machen;to open (a shop);Sie macht im Sommer ein kleines Café auf.
aus;machen;to arrange, make (a date/appointment);Wir machen für Freitag einen Termin aus.
aus;machen;to identify, make out;Ich konnte die Schrift kaum ausmachen.
aus;machen;to matter, make a difference;Es macht nichts aus, wenn du später kommst.
aus;machen;to turn off;Mach bitte das Licht aus.
mit;machen;to go along, cooperate;Bei dem Betrug mache ich nicht mit.
mit;machen;to participate;Machst du beim Wettbewerb mit?
mit;machen;to play along;Bei diesem Spiel mache ich nicht mit.
nach;machen;to imitate;Er macht alles nach, was sein Bruder tut.
vor;machen;to demonstrate;Sie macht die Übung vor.
weg;machen;to remove (colloq);Mach bitte den Fleck weg.
zu;machen;to close;Mach bitte die Tür zu.
zu;machen;to shut down (shop);Die Bäckerei macht um sechs Uhr zu.
ge;mahnen;to admonish, remind;Sein Blick gemahnt uns an die Gefahr.
über;malen;to paint over;Wir übermalen die alten Graffiti.
zer;malmen;to crush;Die Mühle zermalmt das Korn.
ver;meiden;to avoid;Wir vermeiden unnötige Kosten.
an;melden|(sich);to register, sign up;Melde dich bitte für den Kurs an.
bei;mengen;to mix in;Man mengt die Gewürze langsam bei.
be;merken;to notice;Ich bemerke, dass es kalt wird.
be;merken;to remark, comment;Er bemerkte leise, dass es spät sei.
bei;messen;to attribute;Man misst dem Projekt große Bedeutung bei.
unter;minieren;to undermine;Sein Verhalten unterminiert das Vertrauen.
;nehmen;to take;Ich nehme den Zug.
ab;nehmen;to decrease, lose weight;Die Temperatur nimmt ab.
ab;nehmen;to relieve (someone);Ich nehme dir die Arbeit ab.
ab;nehmen;to take something from someone;Der Kellner nahm den Teller ab.
an;nehmen;to accept;Ich nehme dein Angebot an.
an;nehmen;to assume;Ich nehme an, dass er schon da ist.
auf;nehmen;to absorb;Der Boden nimmt das Wasser schnell auf.
auf;nehmen;to admit;Die Schule nimmt jedes Jahr neue Schüler auf.
auf;nehmen;to include;Wir nehmen ihn in die Gruppe auf.
auf;nehmen;to record;Wir nehmen gerade ein Lied auf.
auf;nehmen;to take in (food);Das Baby nimmt neue Nahrung gut auf.
aus;nehmen;to take out;Nimm bitte das Geschirr aus der Spülmaschine.
ein;nehmen;to take in, ingest;Er nimmt die Tablette ein.
ent;nehmen;to remove, take out;Der Arzt entnimmt Blut für den Test.
hin;nehmen;to accept, put up with;Ich nehme das so hin.
mit;nehmen;to take along;Nimm eine Jacke mit, es wird kalt.
mit;nehmen;to take away, learn;Ich habe aus dem Kurs viel mitgenommen.
unter;nehmen;to attempt;Wir unternehmen einen neuen Versuch.
unter;nehmen;to undertake;Wir unternehmen viel am Wochenende.
vor;nehmen;to plan to do;Ich nehme mir vor, mehr Sport zu machen.
weg;nehmen;to remove;Nimm bitte die Tasse weg.
weg;nehmen;to take away;Sie nimmt ihm das Spielzeug weg.
zu;nehmen;to increase;Die Temperatur nimmt wieder zu.
zurück;nehmen;to take back;Ich nehme meine Worte nicht zurück.
über;nehmen;to assume responsibility;Sie übernimmt die Verantwortung.
